date,last day of the month,dataset type,number of datasets
04/07/2016,0,zip,10945
04/07/2016,0,x-gzip,6292
04/07/2016,0,tsv,6285
04/07/2016,0,xml,826
04/07/2016,0,pdf,709
04/07/2016,0,csv,486
04/07/2016,0,html,353
04/07/2016,0,vnd.ms-excel,236
04/07/2016,0,rdf_xml,124
04/07/2016,0,msaccess,44
04/07/2016,0,sparql,32
04/07/2016,0,vnd.openxmlformats-officedocument.presentationml.presentation,31
04/07/2016,0,n3,28
04/07/2016,0,x-qgis,18
04/07/2016,0,x-dbase,18
04/07/2016,0,octet-stream,18
04/07/2016,0,json,17
04/07/2016,0,plain,13
04/07/2016,0,vnd.openxmlformats-officedocument.spreadsheetml.sheet,7
04/07/2016,0,rss+xml,6
04/07/2016,0,rdf,5
04/07/2016,0,tiff,5
04/07/2016,0,x-javascript,4
04/07/2016,0,x-shockwave-flash,4
04/07/2016,0,ms-word,3
04/07/2016,0,png,2
04/07/2016,0,vnd.google-earth.kml+xml,1
04/07/2016,0,x-mxd,1
04/07/2016,0,x-n3,1
05/07/2016,0,zip,10943
05/07/2016,0,x-gzip,6290
05/07/2016,0,tsv,6283
05/07/2016,0,xml,826
05/07/2016,0,pdf,711
05/07/2016,0,csv,486
05/07/2016,0,html,353
05/07/2016,0,vnd.ms-excel,236
05/07/2016,0,rdf_xml,124
05/07/2016,0,msaccess,44
05/07/2016,0,sparql,32
05/07/2016,0,vnd.openxmlformats-officedocument.presentationml.presentation,31
05/07/2016,0,n3,28
05/07/2016,0,x-qgis,18
05/07/2016,0,x-dbase,18
05/07/2016,0,octet-stream,18
05/07/2016,0,json,17
05/07/2016,0,plain,13
05/07/2016,0,vnd.openxmlformats-officedocument.spreadsheetml.sheet,7
05/07/2016,0,rss+xml,6
05/07/2016,0,rdf,5
05/07/2016,0,tiff,5
05/07/2016,0,x-javascript,4
05/07/2016,0,x-shockwave-flash,4
05/07/2016,0,ms-word,3
05/07/2016,0,png,2
05/07/2016,0,vnd.google-earth.kml+xml,1
05/07/2016,0,x-mxd,1
05/07/2016,0,x-n3,1
06/07/2016,0,zip,10943
06/07/2016,0,x-gzip,6290
06/07/2016,0,tsv,6283
06/07/2016,0,xml,826
06/07/2016,0,pdf,711
06/07/2016,0,csv,486
06/07/2016,0,html,353
06/07/2016,0,vnd.ms-excel,236
06/07/2016,0,rdf_xml,124
06/07/2016,0,msaccess,44
06/07/2016,0,sparql,32
